week,dmanum,test1_imp,test1_spd,test2_clk_f11_f21_f32,test2_clk_f11_f21_f31,test2_clk_f11_f22_f32,test2_clk_f11_f22_f31,test2_clk_f12_f21_f32,test2_clk_f12_f21_f31,test2_clk_f12_f22_f32,test2_clk_f12_f22_f31
1/12/2015,804,56283.35107,1299.108721,0,326.1442479,845.7383698,516.0448742,0,307.1886976,619.8151575,206.6418656
1/12/2015,807,929755.3005,21460.22218,0,5387.638395,13970.91177,8524.642686,0,5074.508082,10238.84358,3413.555985
1/12/2015,810,90141.33643,2080.604549,0,522.3405824,1354.503338,826.478412,0,491.9820731,992.6730653,330.9499804
1/12/2015,811,95076.34572,2194.512365,0,550.937403,1428.658957,871.7260065,0,518.9168424,1047.019395,349.0686514
1/12/2015,813,57551.07442,1328.36978,0,333.4903044,864.7877379,527.6682427,0,314.1078003,633.7758426,211.2962565
1/12/2015,819,633474.0928,14621.58352,0,3670.782348,9518.86013,5808.130686,0,3457.435953,6976.0744,2325.772469
1/12/2015,820,411494.0183,9497.932469,0,2384.477906,6183.28997,3772.863108,0,2245.89171,4531.539521,1510.782319
1/12/2015,821,21531.62075,496.9838461,0,124.7689436,323.5435966,197.4168615,0,117.5173548,237.1149666,79.05240533
1/12/2015,825,408307.0146,9424.371386,0,2366.010226,6135.400652,3743.642444,0,2228.497374,4496.44294,1499.081374
1/12/2015,828,96076.52662,2217.598121,0,556.7331355,1443.688115,880.89636,0,524.3757261,1058.033794,352.7407719
1/12/2015,839,264164.6253,6097.337167,0,1530.750593,3969.45376,2422.044854,0,1441.78315,2909.088313,969.868886
1/12/2015,855,91557.75316,2113.297686,0,530.5482701,1375.787039,839.4651048,0,499.7127288,1008.271223,336.1502925
1/12/2015,862,532989.0582,12302.23006,0,3088.503301,8008.927838,4886.814062,0,2908.999047,5869.492324,1956.846052
1/12/2015,866,257107.8961,5934.456702,0,1489.859076,3863.416246,2357.343857,0,1403.268253,2831.376741,943.9604129
1/12/2015,868,66450.88847,1533.791558,0,385.0619167,998.5202553,609.2679225,0,362.6820631,731.7842153,243.9715352
1/12/2015,881,147047.9848,3394.099957,0,852.0966415,2209.607647,1348.238109,0,802.5726629,1619.352226,539.8802549
1/19/2015,500,130864.0359,2455.971521,0,1229.647844,1801.490369,2026.252191,0,943.8129158,1308.940561,879.0882132
1/19/2015,501,2762497.38,51844.76274,0,25957.46742,38028.87776,42773.52697,0,19923.58473,27631.31097,18557.26724
1/19/2015,502,46869.23239,879.6114163,0,440.400987,645.2076016,725.7065255,0,338.0286003,468.799842,314.8473106
1/19/2015,503,87112.60544,1634.872993,0,818.5429003,1199.202811,1348.820601,0,628.270415,871.3258909,585.1849527
1/19/2015,504,1061819.41,19927.5394,0,9977.255706,14617.13623,16440.83412,0,7658.015946,10620.62992,7132.845335
1/19/2015,505,638366.1007,11980.44178,0,5998.328679,8787.826038,9884.233672,0,4604.001143,6385.12542,4288.268438
1/19/2015,506,838129.4498,15729.47102,0,7875.380461,11537.7928,12977.29833,0,6044.72722,8383.217169,5630.192554
1/19/2015,507,118149.979,2217.36233,0,1110.18177,1626.467102,1829.392255,0,852.1170496,1181.770826,793.6806564
1/19/2015,508,376547.4907,7066.799576,0,3538.182259,5183.598941,5830.327429,0,2715.722335,3766.338707,2529.483815
